"Company_Name","Address","Revenue"
"PEACOCK BROS. PROPRIETARY LIMITED","Oakleigh,Victoria Australia","$31.18M"
"CMYKHUB VIC PTY LTD","Heidelberg West,Victoria Australia","$31.16M"
"JARDAN AUSTRALIA PTY LTD","Scoresby,Victoria Australia","$31.13M"
"FLANDERS ELECTRIC OF AUSTRALIA PTY LTD","Darra,Queensland Australia","$31.05M"
"HYDAC PTY LTD","Altona North,Victoria Australia","$31.01M"
"ABARIS PRINTING & PUBLISHING CO. PROPRIETARY LIMITED","Derrimut,Victoria Australia","$30.84M"
"SAFECORP FINANCIAL SERVICES PTY LTD","Keysborough,Victoria Australia","$30.73M"
"BARRO GROUP PTY. LIMITED","Carlton,Victoria Australia","$30.67M"
"RADIOMETER PACIFIC PTY LIMITED","Mount Waverley,Victoria Australia","$30.62M"
"LEICA BIOSYSTEMS MELBOURNE PTY LTD","Mount Waverley,Victoria Australia","$30.62M"
"SOUTHERN IMPACT PTY LTD","Mount Waverley,Victoria Australia","$30.6M"
"GUNN & TAYLOR PRINTERS PTY LTD","Glen Waverley,Victoria Australia","$30.6M"
"ASP SHIPS PTY LTD","Melbourne,Victoria Australia","$30.59M"
"AL-KO CHASSIS SYSTEMS PTY LTD","Campbellfield,Victoria Australia","$30.56M"
"FIRST SOLAR (AUSTRALIA) PTY LTD","Carlton South,Victoria Australia","$30.49M"
"ARROW ELECTRONICS AUSTRALIA PTY LTD","Bayswater North,Victoria Australia","$30.48M"
"BLICK PTY LIMITED","Tullamarine,Victoria Australia","$30.42M"
"STEEL CEMENT PTY LTD","Port Melbourne,Victoria Australia","$30.39M"
"BHP METALS EXPLORATION PTY LTD","Melbourne,Victoria Australia","$30.37M"
"BRICK LANE BREWING CO PTY LTD","Dandenong South,Victoria Australia","$30.21M"
"FOODMACH PTY. LTD.","Echuca,Victoria Australia","$30.04M"
"FRANKLIN ELECTRIC (AUSTRALIA) PTY LTD","Dandenong South,Victoria Australia","$30.03M"
"TREMCO CPG AUSTRALIA PTY LTD","Keysborough,Victoria Australia","$30.03M"
"NATIO PTY LTD","Heidelberg West,Victoria Australia","$29.93M"
"WILSON TRANSFORMER COMPANY PROPRIETARY LIMITED","Glen Waverley,Victoria Australia","$29.88M"
"A.E. ATHERTON & SONS PROPRIETARY LIMITED","Alphington,Victoria Australia","$29.88M"
"POLYFOAM (AUSTRALIA) PTY. LTD.","Moorebank,New South Wales Australia","$29.85M"
"KEEPCUP PTY LTD","Clifton Hill,Victoria Australia","$29.82M"
"BRISBANE PROSTHETICS PTY LTD","Moorooka,Queensland Australia","$29.79M"
"CLARK RUBBER (NARRE WARREN VIC) PTY LTD","Hawthorn,Victoria Australia","$29.76M"
"AUSTRALIAN UAV PTY LTD","Cheltenham,Victoria Australia","$29.76M"
"LANTMANNEN UNIBAKE AUSTRALIA PTY LTD","Mordialloc,Victoria Australia","$29.65M"
"TRENDGOSA PTY LTD","Heidelberg Heights,Victoria Australia","$29.58M"
"ROSEBANK ENGINEERING PTY LTD","Bayswater,Victoria Australia","$29.52M"
"FLORIDIA CHEESE PTY LTD","Thomastown,Victoria Australia","$29.46M"
"TEMPTATION BAKERIES PTY LTD","Chelsea Heights,Victoria Australia","$29.46M"
"CELLESTIS PTY LTD","Chadstone,Victoria Australia","$29.43M"
"ADVANCED PRECAST (NSW) PTY LTD","Wetherill Park,New South Wales Australia","$29.37M"
"CHEETHAM SALT LIMITED","Melbourne,Victoria Australia","$29.33M"
"GLAXOSMITHKLINE INVESTMENTS PTY LTD","Abbotsford,Victoria Australia","$29.32M"
"GLAXOSMITHKLINE AUSTRALIA PTY LTD","Abbotsford,Victoria Australia","$29.32M"
"FIBREGLASS TRANSPORT EQUIPMENT PTY. LTD.","Dandenong South,Victoria Australia","$29.28M"
"INTERPACK PTY LTD","Deer Park,Victoria Australia","$29.27M"
"3FOLD RESOURCES PTY. LTD.","Dandenong South,Victoria Australia","$29.27M"
"STARPHARMA PTY LTD","Abbotsford,Victoria Australia","$29.2M"
"A-GAS (AUSTRALIA) PTY LIMITED","Laverton North,Victoria Australia","$29.12M"
"DOREL AUSTRALIA PTY LTD","Sunshine West,Victoria Australia","$29.11M"
"SUN PHARMACEUTICAL INDUSTRIES (AUSTRALIA) PTY LTD","Port Fairy,Victoria Australia","$29.1M"
"HOFESH PLUS PTY LTD","Clayton South,Victoria Australia","$29.09M"
"BIOPROPERTIES PTY. LTD.","Ringwood,Victoria Australia","$29.07M"
"BETTER BEER HOLDINGS PTY LTD","Torquay,Victoria Australia","$29.06M"
"SCHOTT MINIFAB PTY LTD","Scoresby,Victoria Australia","$29.05M"
"ADCORP AUSTRALIA (VIC) PTY. LIMITED","Melbourne,Victoria Australia","$29.04M"
"DERWENT INDUSTRIES PTY LTD","Derwent Park,Tasmania Australia","$28.97M"
"LITSUPPORT PTY LIMITED","Melbourne,Victoria Australia","$28.84M"
"VISY GLASS PACKAGING PENRITH PTY LTD","Southbank,Victoria Australia","$28.79M"
"BRISBANE CULLET PTY LTD","Southbank,Victoria Australia","$28.79M"
"VISY GLASS PACKAGING SERVICES PTY LTD","Southbank,Victoria Australia","$28.79M"
"VISY GLASS OPERATIONS (AUSTRALIA) PTY LTD","Southbank,Victoria Australia","$28.79M"
"DOMAINE CHANDON AUSTRALIA PTY. LTD.","Coldstream,Victoria Australia","$28.74M"
"CEM HOLDINGS PTY. LTD.","Coolaroo,Victoria Australia","$28.73M"
"TAHBILK PROPRIETARY LIMITED","Tabilk,Victoria Australia","$28.72M"
"AUGUSTA OPERATING PTY LIMITED","Kenley,Victoria Australia","$28.71M"
"APT ASIA PACIFIC PTY LTD","Dandenong South,Victoria Australia","$28.65M"
"CARBON REVOLUTION PTY LTD","Waurn Ponds,Victoria Australia","$28.64M"
"PRIMA PMI PTY LTD","Noble Park North,Victoria Australia","$28.63M"
"CLARK RUBBER (ST MARYS SA) PTY LTD","Hawthorn,Victoria Australia","$28.55M"
