"Company_Name","Address","Revenue"
"MOBIL OIL AUSTRALIA PTY LTD","Docklands,Victoria Australia","$220.4M"
"MOBIL EXPLORATION & PRODUCING AUSTRALIA PTY LTD","Docklands,Victoria Australia","$220.4M"
"ESSO AUSTRALIA RESOURCES PTY LTD","Docklands,Victoria Australia","$220.4M"
"THE BETTER DRINKS CO PTY LTD","Renmark,South Australia Australia","$217.55M"
"SASS & BIDE PTY LTD","Alexandria,New South Wales Australia","$217.53M"
"EMOLEUM ROAD SERVICES PTY LTD","Melbourne,Victoria Australia","$217.22M"
"MOTION INDUSTRIAL SOLUTIONS PTY LTD","Truganina,Victoria Australia","$216.47M"
"MARUBENI ALUMINIUM AUSTRALIA PTY. LTD.","Melbourne,Victoria Australia","$216.06M"
"BORAL RESOURCES (VIC.) PTY. LIMITED","Port Melbourne,Victoria Australia","$209.73M"
"PENRITE HOLDINGS PTY. LTD.","Dandenong South,Victoria Australia","$206.14M"
"RINNAI AUSTRALIA PTY. LTD.","Keysborough,Victoria Australia","$205.87M"
"THE DEMPSEY GROUP PTY. LTD.","Hawthorn,Victoria Australia","$202.9M"
"CEDAR UNITED ABATTOIRS PTY LTD","Pakenham,Victoria Australia","$198.58M"
"AKZO NOBEL COATINGS (HOLDINGS) PTY LIMITED","Sunshine North,Victoria Australia","$197.03M"
"CITIC RESOURCES AUSTRALIA PTY LTD","Melbourne,Victoria Australia","$196.95M"
"PENRITE OIL CO. PTY. LTD.","Dandenong South,Victoria Australia","$195.8M"
"CTC PRECAST PTY LTD","Shepparton,Victoria Australia","$194.15M"
"LANTRAK PTY LTD","Ormeau,Queensland Australia","$191.85M"
"SPC GLOBAL LTD","Essendon Fields,Victoria Australia","$191.56M"
"SELECTION STEEL TRADING PTY. LTD.","Dandenong South,Victoria Australia","$191.41M"
"FOX & LILLIE PTY. LTD.","South Melbourne,Victoria Australia","$191.22M"
"RIVERINA OILS & BIO ENERGY PTY LTD","Southbank,Victoria Australia","$190.85M"
"ANCA PTY LTD","Bayswater North,Victoria Australia","$190.56M"
"G. & K. O'CONNOR PTY. LTD.","Pakenham,Victoria Australia","$189.49M"
"ALSTOM TRANSPORT (VLOCITY MAINTENANCE)  AUSTRALIA PTY LIMITED","Dandenong,Victoria Australia","$188.42M"
"GEOFABRICS AUSTRALASIA PTY. LTD.","Braeside,Victoria Australia","$186.43M"
"MOFFAT GROUP PTY LIMITED","Mulgrave,Victoria Australia","$186.26M"
"BITO-LAGERTECHNIK BITTMANN GMBH","Docklands,Victoria Australia","$185.81M"
"KCML PROJECTS PTY LTD","Burnley,Victoria Australia","$184.43M"
"PAPER PRODUCTS MARKETING PTY LTD","Mount Waverley,Victoria Australia","$184.43M"
"EMEIS HOLDINGS PTY LTD","Collingwood,Victoria Australia","$183.63M"
"B&D AUSTRALIA PTY LTD","Revesby,New South Wales Australia","$182.35M"
"SAPUTO DAIRY AUSTRALIA PTY LTD","Southbank,Victoria Australia","$178.69M"
"WARRNAMBOOL CHEESE AND BUTTER FACTORY COMPANY HOLDINGS LIMITED","Southbank,Victoria Australia","$178.69M"
"FCHEM (AUST) LIMITED","Laverton North,Victoria Australia","$177.78M"
"SELCHEM PTY LTD","Laverton North,Victoria Australia","$177.78M"
"MASTRA CORPORATION PTY LTD","Laverton North,Victoria Australia","$177.78M"
"AGRYL HOLDINGS LIMITED","Laverton North,Victoria Australia","$177.78M"
"NUFARM AUSTRALIA LIMITED","Laverton North,Victoria Australia","$177.78M"
"MEDISUP SECURITIES LIMITED","Laverton North,Victoria Australia","$177.78M"
"NUFARM TREASURY PTY. LTD.","Laverton North,Victoria Australia","$177.78M"
"ENERGY POWER SYSTEMS AUSTRALIA PTY. LIMITED.","Mulgrave,Victoria Australia","$177.69M"
"EMERSON PROCESS MANAGEMENT AUSTRALIA PTY LTD","Bayswater,Victoria Australia","$174.58M"
"VISYPET PTY. LTD.","Southbank,Victoria Australia","$173.99M"
"MONDE NISSIN (AUSTRALIA) PTY LTD","Mulgrave,Victoria Australia","$173.81M"
"NILSEN (VIC) PTY LTD","Bibra Lake,Western Australia Australia","$172.31M"
"PARF COMPANY 2 PTY LTD","Melbourne,Victoria Australia","$171.82M"
"WILMAR BIOETHANOL (AUSTRALIA) PTY LTD","Yarraville,Victoria Australia","$171.45M"
"BOORTMALT ASIA PACIFIC PTY LTD","Southbank,Victoria Australia","$169.76M"
"GRUMA OCEANIA PTY LTD","Epping,Victoria Australia","$169.25M"
"CSF PROTEINS PROPRIETARY LIMITED","Maroota,New South Wales Australia","$169.24M"
"WPP LARGE FORMAT PRODUCTION PTY LTD","Keysborough,Victoria Australia","$167.58M"
"DANIEL ROBERTSON AUSTRALIA PTY LTD","Horsley Park,New South Wales Australia","$167.23M"
"HANES IP BONDS AUSTRALIA PTY LTD","Kew,Victoria Australia","$165.27M"
"EATON ELECTRICAL (AUSTRALIA) PTY LTD","Mascot,New South Wales Australia","$163.79M"
"MONDELEZ NEW ZEALAND HOLDINGS (AUSTRALIA) PTY LTD","South Melbourne,Victoria Australia","$163.23M"
"HDI TRADING PTY LTD","Warners Bay,New South Wales Australia","$162.86M"
"GE POWER NZ HOLDINGS PTY LTD","North Ryde,New South Wales Australia","$162.24M"
"INTERVET SCHERING-PLOUGH ANIMAL HEALTH PTY LTD","East Bendigo,Victoria Australia","$161.15M"
"CHOBANI AUSTRALIA PTY LTD","Dandenong South,Victoria Australia","$160.77M"
"WOODWARD FOODS AUSTRALIA PTY LTD","Swan Hill,Victoria Australia","$160.13M"
"ROCLA VIC PTY LIMITED","Shepparton,Victoria Australia","$157.49M"
"NEUREN PHARMACEUTICALS LIMITED","Camberwell,Victoria Australia","$156.84M"
"VAWDREY MANUFACTURING PTY. LTD.","Dandenong South,Victoria Australia","$156.02M"
"PETSTOCK (BALLARAT) PTY LTD","Bakery Hill,Victoria Australia","$155.93M"
"E.B. MAWSON & SONS PROPRIETARY LIMITED","Cohuna,Victoria Australia","$155.1M"
"FLUIDRA AUSTRALIA PTY LTD","Keysborough,Victoria Australia","$154.79M"
"SOUTHERN CROSS ALUMINIUM PTY LTD","Melbourne,Victoria Australia","$154.52M"
"FUTURIS AUTOMOTIVE INTERIORS HOLDINGS PTY LTD","Melbourne,Victoria Australia","$153.61M"
"GLOBE INTERNATIONAL LIMITED","Port Melbourne,Victoria Australia","$153.24M"
"SORBENT PAPER COMPANY PTY LTD","Box Hill,Victoria Australia","$152.94M"
"BLUESCOPE DISTRIBUTION PTY LTD","Melbourne,Victoria Australia","$152.8M"
"SEQIRUS PTY LTD","Parkville,Victoria Australia","$152.5M"
"SEQIRUS (AUSTRALIA) PTY LTD","Melbourne,Victoria Australia","$152.5M"
"SSANGYONG AUSTRALIA PTY LTD","Heatherton,Victoria Australia","$152.39M"
"GRAPHIC PACKAGING INTERNATIONAL AUSTRALIA PTY LIMITED","Braeside,Victoria Australia","$152.06M"
"EGO PHARMACEUTICALS PTY LTD","Braeside,Victoria Australia","$149.87M"
"CICERO CLOTHING PTY. LTD.","Burnley,Victoria Australia","$149.43M"
"COMMSCOPE HOLDINGS AUSTRALIA PTY LTD","Mount Waverley,Victoria Australia","$149.15M"
"DYNO NOBEL PTY LIMITED","Murarrie,Queensland Australia","$149M"
"HEXION PTY LTD","Murarrie,Queensland Australia","$147.19M"
"J G KING BUILDING GROUP PTY LTD","Alfredton,Victoria Australia","$146.62M"
"NAGASE SINGAPORE (PTE) LTD.","Wheelers Hill,Victoria Australia","$146.41M"
"ALSTOM TRANSPORT (CUSTOMER SUPPORT) AUSTRALIA PTY LIMITED","Dandenong,Victoria Australia","$146.21M"
"METALCORP STEEL PTY LIMITED","Melbourne,Victoria Australia","$144.58M"
"OPAL PACKAGING AUSTRALIA PTY LTD","Burnley,Victoria Australia","$143.39M"
